topic,score,test_statistic
Abortion,0.0018000000000000238,0.5032462140622397
Black Americans,0.04400000000000004,0.3795098888134973
Entertainment,0.04679999999999995,0.3153601213901833
Gold,0.025599999999999956,0.11830670391529757
HealthScience,0.0050000000000000044,0.5019957892179308
Illegal Immigration,0.09519999999999995,0.27630449022800546
LGBTQ,0.0020999999999999908,0.5550591270976039
Sports,0.49739999999999995,0.005897877026657022
USA,0.0,0.7366241548048373
WeatherClimate,0.08750000000000002,0.2911402847560612
